,State,Cases 2016,Cases 2017,Total Cases
0,Bahia_2016-2017.csv,51216.00000146001,2216.999999998,53433.00000145801
1,MatoGrosso_2016-2017.csv,21628.000000140004,2147.99999987,23776.000000010004
2,MinasGerais_2016-2017.csv,13864.999999535,757.9999999970001,14622.999999532001
3,RioDeJaneiro_2016-2017.csv,71529.00000004999,2209.999999808,73738.99999985799
4,SaoPaulo_2016-2017.csv,5210.000000008,411.99999999599993,5622.000000004
5,huila_2016-2017.csv,6375.0,50.0,6425.0
6,santander_2016-2017.csv,10278.0,152.0,10430.0
7,santander_norte_2016-2017.csv,8713.0,47.0,8760.0
8,tolima_2016-2017.csv,6450.0,103.0,6553.0
9,valle_cauca_2016-2017.csv,26657.0,953.0,27610.0
10,Chiapas_2016-2017.csv,768.0,5.0,773.0
11,Guerrero_2016-2017.csv,798.0,27.0,825.0
12,NuevoLeon_2016-2017.csv,782.0,104.0,886.0
13,Veracruz_2016-2017.csv,1786.0,203.0,1989.0
14,Yucatan_2016-2017.csv,822.0,16.0,838.0
