State,Model,Error
casanare,LSTM,0.4841046422755717
casanare,LSTM,-0.272648933107853
casanare,LSTM,-5.2683936598837375
casanare,LSTM,-0.11906027426004415
casanare,LSTM,-2.102241368721724
casanare,LSTM,-1.6133767034542563
casanare,LSTM,-2.1832293198299406
casanare,LSTM,-7.844597135838269
casanare,LSTM,2.8008551033580305
casanare,LSTM,-100.97497215758564
casanare,LSTM,-71.85654735157013
casanare,LSTM,-94.07530895174028
casanare,LSTM,-30.728983312416077
casanare,LSTM,-7.059945427932732
casanare,LSTM,-30.438911059265138
casanare,LSTM,-26.54215164527892
casanare,LSTM,-4.4946208512115495
casanare,LSTM,71.80885576660157
casanare,LSTM,-51.60524549163817
casanare,LSTM,-23.3881300299835
casanare,LSTM,-85.20142785652159
casanare,LSTM,-19.043946725769047
casanare,LSTM,-41.438065830841076
casanare,LSTM,-36.28088887062072
casanare,LSTM,-117.39132373046871
casanare,LSTM,-96.96077901412966
casanare,LSTM,2.9334505842590204
casanare,LSTM,57.29452864891053
casanare,LSTM,-97.9066700476074
casanare,LSTM,11.054685044708265
casanare,LSTM,27.108971061553945
casanare,LSTM,53.24414998275758
casanare,LSTM,34.25080460651398
casanare,LSTM,59.524132341365814
casanare,LSTM,18.597202687072755
casanare,LSTM,42.11191767305374
casanare,LSTM,34.445565923953055
casanare,LSTM,18.858348957166672
casanare,LSTM,13.790930245270731
casanare,LSTM,0.5086020299625389
casanare,LSTM,1.0040391599154477
casanare,LSTM,-3.7469660263156888
casanare,LSTM,-1.126507189979554
casanare,LSTM,2.292093520739078
casanare,LSTM,-2.8630064930510533
casanare,LSTM,3.399949408845901
casanare,LSTM,1.5933187462711331
casanare,LSTM,-1.2105661579298976
casanare,LSTM,-9.222423979377748
casanare,LSTM,-1.8593571854984765
casanare,LSTM,2.808769849911928
casanare,LSTM,3.514537109839916
casanare,LSTM,3.543871853630543
casanare,LSTM,-2.4039868851304056
casanare,LSTM,-9.846597370519637
casanare,LSTM,-5.382508014248608
casanare,LSTM,-1.371304730358124
casanare,LSTM,2.2126507446908947
casanare,LSTM,4.826736822729111
casanare,LSTM,-0.27692477433681484
casanare,LSTM,-0.11070829818964012
casanare,LSTM,0.5416793564367295
casanare,LSTM,-2.521078776751757
casanare,LSTM,-1.1712002047848702
casanare,LSTM,1.7922356561994552
casanare,LSTM,-0.1090717680799962
casanare,LSTM,1.1797359532225131
casanare,LSTM,0.8355649393212794
casanare,LSTM,0.3237667573440075
casanare,LSTM,-0.5020010964941979
casanare,LSTM,0.3842231921863555
casanare,LSTM,1.4187751511251927
casanare,LSTM,0.4354850599658489
casanare,LSTM,1.4398148564112183
casanare,LSTM,0.24814920843124375
casanare,LSTM,-1.7819295318818094
casanare,LSTM,1.4120807380712033
casanare,LSTM,0.482477247670889
casanare,LSTM,-3.2629527390897275
casanare,LSTM,3.63770623679638
casanare,LSTM,-0.6119224665355683
casanare,LSTM,1.605768952357769
casanare,LSTM,1.6551845983207223
casanare,LSTM,4.033881856275797
casanare,LSTM,0.26443080280780795
casanare,LSTM,-2.0321990272784234
casanare,LSTM,-0.03434121296286585
casanare,LSTM,1.052722903213501
casanare,LSTM,0.5350110751760007
casanare,LSTM,0.5790357109439372
casanare,LSTM,0.2689526653099059
casanare,LSTM,-1.7681304578650001
casanare,LSTM,0.40735131639719
casanare,LSTM,-0.522254086085558
casanare,LSTM,-3.415796535602808
casanare,LSTM,-1.1291108088934425
casanare,LSTM,0.89457244058609
casanare,LSTM,1.2963540733075145
casanare,LSTM,1.479498427693844
casanare,LSTM,1.640370420985222
casanare,LSTM,1.3397950990259648
casanare,LSTM,1.2856510856580734
casanare,LSTM,-1.803400942890644
casanare,LSTM,0.13312236583828918
casanare,LSTM,2.2483144813370703
casanare,LSTM,3.374379767820835
casanare,LSTM,-1.54607331387043
casanare,LSTM,1.074686356768608
casanare,LSTM,-0.02132885464072232
casanare,LSTM,1.1365001576852798
casanare,Naive,2.0
casanare,Naive,-1.0
casanare,Naive,-5.0
casanare,Naive,5.0
casanare,Naive,-2.0
casanare,Naive,0.0
casanare,Naive,-1.0
casanare,Naive,-5.0
casanare,Naive,10.0
casanare,Naive,-104.0
casanare,Naive,22.0
casanare,Naive,-43.0
casanare,Naive,29.0
casanare,Naive,-12.0
casanare,Naive,-28.0
casanare,Naive,-13.0
casanare,Naive,15.0
casanare,Naive,76.0
casanare,Naive,-95.0
casanare,Naive,-5.0
casanare,Naive,-56.0
casanare,Naive,56.0
casanare,Naive,-39.0
casanare,Naive,-8.0
casanare,Naive,-88.0
casanare,Naive,17.0
casanare,Naive,93.0
casanare,Naive,64.0
casanare,Naive,-124.0
casanare,Naive,76.0
casanare,Naive,35.0
casanare,Naive,47.0
casanare,Naive,3.0
casanare,Naive,41.0
casanare,Naive,-18.0
casanare,Naive,36.0
casanare,Naive,12.0
casanare,Naive,-1.0
casanare,Naive,2.0
casanare,Naive,-2.0
casanare,Naive,5.0
casanare,Naive,-4.0
casanare,Naive,3.0
casanare,Naive,4.0
casanare,Naive,-4.0
casanare,Naive,6.0
casanare,Naive,0.0
casanare,Naive,-2.0
casanare,Naive,-8.0
casanare,Naive,8.0
casanare,Naive,4.0
casanare,Naive,0.0
casanare,Naive,0.0
casanare,Naive,-4.0
casanare,Naive,-7.0
casanare,Naive,4.0
casanare,Naive,3.0
casanare,Naive,2.0
casanare,Naive,2.0
casanare,Naive,-3.0
casanare,Naive,1.0
casanare,Naive,1.0
casanare,Naive,-3.0
