Week,Cases,Delta
1,12,12
2,27,15
3,61,34
4,105,44
5,162,57
6,214,52
7,259,45
8,294,35
9,385,91
10,402,17
11,431,29
12,457,26
13,486,29
14,486,0
15,541,55
16,528,-13
17,556,28
18,578,22
19,598,20
20,623,25
21,634,11
22,665,31
23,681,16
24,699,18
25,708,9
26,716,8
27,733,17
28,751,18
29,766,15
30,766,0
31,793,27
32,813,20
33,831,18
34,840,9
35,821,-19
36,815,-6
37,832,17
38,844,12
39,858,14
40,867,9
41,873,6
42,885,12
43,890,5
44,893,3
45,899,6
46,910,11
47,979,69
48,967,-12
49,991,24
50,999,8
51,950,-49
52,953,3
